EFID_31_03_00_00
ID,UT,PC,FN,Name
0,1,0,1,param Dummy for initial output. Please delete it when you add a formal parameter. - param初回出力用ダミー。正式なパラメータ追加する時に消してください。
EFID_34_15_0000
ID,UT,PC,FN,Name
0,0,0,50,Bonfire flag - 篝火フラグ
50,0,0,50,Initialization flag - 初期化用フラグ
100,0,0,100,System flag - システムフラグ
2100,0,0,100,System flag - システムフラグ
200,0,0,300,Character flag (do not reset) - キャラフラグ（リセットしない）
1200,0,0,300,Character flag (do not reset) - キャラフラグ（リセットしない）
2200,0,0,300,Character flag (reset) - キャラフラグ（リセットする）
500,0,0,200,Object flag (does not reset) - オブジェフラグ（リセットしない）
1500,0,0,200,Object flag (does not reset) - オブジェフラグ（リセットしない）
2500,0,0,200,Object flag (reset) - オブジェフラグ（リセットする）
8500,0,0,200,Object act flag - オブジェアクトフラグ
700,0,0,100,Conversation flag - 会話フラグ
2700,0,0,100,Conversation flag - 会話フラグ
800,0,0,100,Boss flag (do not reset) - ボスフラグ（リセットしない）
2800,0,0,100,Boss flag (reset) - ボスフラグ（リセットする）
900,0,0,100,For debugging / testing - デバッグ/テスト用
2900,0,0,100,For debugging / testing - デバッグ/テスト用
0,1,0,1,param Dummy for initial output. Please delete it when you add a formal parameter. - param初回出力用ダミー。正式なパラメータ追加する時に消してください。
EFID_common
ID,UT,PC,FN,Name
0,0,0,1000,GrF: For in-game (not touched except by the person in charge of the event) - GrF：インゲーム用（イベント担当以外触れない）
1000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
2000,0,0,1000,GrF: System flag - GrF：システムフラグ
3000,0,0,2000,GrF: Character status flag - GrF：キャラ状態フラグ
6000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
7000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
8000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
9000,0,0,950,GrF: Event flag - GrF：イベントフラグ
100000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
110000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
120000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
130000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
140000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
150000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
160000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
170000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
180000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
190000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
200000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
210000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
220000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
230000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
240000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
250000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
260000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
270000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
280000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
290000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
300000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
310000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
320000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
330000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
340000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
350000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
360000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
370000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
380000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
390000,0,0,1000,GrF: Shop lineup_Flag band for inventory management - GrF：ショップラインナップ_在庫管理用フラグ帯
500000,0,0,1000,Zaku Hula: Boss Defeat Item - ザクフラ：ボス撃破アイテム
520000,0,0,1000,Zaku Hula: Blood characters - ザクフラ：血文字
530000,0,0,1000,Zaku Hula: Nemuri Collector - ザクフラ：ネムリコレクター
800000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
810000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
820000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
830000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
840000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
850000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
860000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
870000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
880000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
890000,0,0,1000,GrF: Event flag - GrF：イベントフラグ
0,0,0,90,GrF: Systematic flag frame - GrF：システム的フラグ枠
90,0,0,10,GrF: Systematic flag frame (layer) - GrF：システム的フラグ枠（レイヤー）
100,0,0,100,GrF: Story progress event frame - GrF：ストーリー進行イベント枠
200,0,0,100,GrF: Administrative flag - GrF：管理用フラグ
300,0,0,100,GrF: Map replacement management - GrF：マップ差し替え管理
500,0,0,100,GrF: Time weather management flag - GrF：時間天候管理フラグ
700,0,0,200,GrF: Event ID for common - GrF：common用イベントID
1100,0,0,200,GrF: Boss defeat item acquisition _XX - GrF：ボス撃破アイテム取得_XX
1300,0,0,200,GrF: Nemuri item system - GrF：ネムリアイテム系
1900,0,0,100,GrF: For BGM - GrF：BGM用
6080,0,0,20,GrF: GameProgress - GrF：GameProgress
6100,0,0,100,GrF: Boss defeat shop lineup lifted - GrF：ボス撃破ショップラインナップ解禁
6200,0,0,100,GrF: Shop lineup lifted - GrF：ショップラインナップ解禁
6400,0,0,100,GrF: The ban on gestures has been lifted - GrF：ジャスチャー解禁
6500,0,0,300,GrF: Event flag - GrF：イベントフラグ
6800,0,0,30,GrF: Map possession flag - GrF：地図所持フラグ
9100,0,0,100,GrF: Boss Defeat Flag - GrF：ボス撃破フラグ
9500,0,0,100,GrF: Recipe ban flag - GrF：レシピ解禁フラグ
100000,0,0,200,Shop inventory management flag_1st playable_own buff frame - ショップ在庫管理フラグ_1stプレイアブル_自バフ枠
100200,0,0,200,Shop inventory management flag_April version_Environmental ritual frame - ショップ在庫管理フラグ_4月版_環境儀式枠
100400,0,0,200,Shop inventory management flag_April version_Village development list frame - ショップ在庫管理フラグ_4月版_村発展リスト枠
100600,0,0,200,Shop inventory management flag_unused - ショップ在庫管理フラグ_未使用
100800,0,0,200,Shop inventory management flag_unused - ショップ在庫管理フラグ_未使用
110000,0,0,500,Shop Inventory Management Flag _1st Playable_SHOP_Gypsy 1 - ショップ在庫管理フラグ_1stプレイアブル_SHOP_ジプシー1
110500,0,0,500,Shop Inventory Management Flag _1st Playable_SHOP_Gypsy 2 - ショップ在庫管理フラグ_1stプレイアブル_SHOP_ジプシー2
120000,0,0,500,Shop Inventory Management Flag _1st Playable_SHOP_Gypsy 3 - ショップ在庫管理フラグ_1stプレイアブル_SHOP_ジプシー3
120500,0,0,500,Shop Inventory Management Flag _1st Playable_SHOP_Gypsy 4 - ショップ在庫管理フラグ_1stプレイアブル_SHOP_ジプシー4
130000,0,0,500,Shop Inventory Management Flag _1st Playable_SHOP_Gypsy 5 - ショップ在庫管理フラグ_1stプレイアブル_SHOP_ジプシー5
130500,0,0,500,Shop Inventory Management Flag _1st Playable_SHOP_Gypsy 6 - ショップ在庫管理フラグ_1stプレイアブル_SHOP_ジプシー6
140000,0,0,500,Shop Inventory Management Flag _1st Playable_SHOP_Gypsy 7 - ショップ在庫管理フラグ_1stプレイアブル_SHOP_ジプシー7
140500,0,0,500,Shop Inventory Management Flag _1st Playable_SHOP_Gypsy 8 - ショップ在庫管理フラグ_1stプレイアブル_SHOP_ジプシー8
150000,0,0,500,Shop Inventory Management Flag _1st Playable_SHOP_Gypsy 9 - ショップ在庫管理フラグ_1stプレイアブル_SHOP_ジプシー9
150500,0,0,500,Shop Inventory Management Flag _1st Playable_SHOP_Gypsy 10 - ショップ在庫管理フラグ_1stプレイアブル_SHOP_ジプシー10
160000,0,0,500,Shop inventory management flag_April version_SHOP_NPC (direct line of Marika) - ショップ在庫管理フラグ_4月版_SHOP_NPC(マリカの直系)
160500,0,0,500,Shop Inventory Management Flag_April Edition_SHOP_NPC (Gladiator) - ショップ在庫管理フラグ_4月版_SHOP_NPC(剣闘士)
170000,0,0,500,Shop Inventory Management Flag_April Edition_SHOP_NPC (Insect Man Golem) - ショップ在庫管理フラグ_4月版_SHOP_NPC(虫人ゴーレム)
170500,0,0,500,Shop inventory management flag_April version_SHOP_NPC (poor dead) - ショップ在庫管理フラグ_4月版_SHOP_NPC(貧民亡者)
62000,0,0,100,Map item acquisition flag - 地図アイテム入手フラグ
62100,0,0,100,Map point open flag_green - 地図ポイント開放フラグ_緑
62200,0,0,100,Map point open flag_lake - 地図ポイント開放フラグ_湖
62300,0,0,100,Map point open flag_Takayama - 地図ポイント開放フラグ_高山
62400,0,0,100,Map point open flag_plain - 地図ポイント開放フラグ_平原
62500,0,0,100,Map point open flag_Snowfield - 地図ポイント開放フラグ_雪原
63000,0,0,1000,Map item acquisition production flag - 地図アイテム入手演出フラグ
92000,0,0,100,Reserve: Map item acquisition flag - 予備：地図アイテム入手フラグ
92100,0,0,100,Reserve: Map point open flag_green - 予備：地図ポイント開放フラグ_緑
92200,0,0,100,Reserve: Map point open flag_Lake - 予備：地図ポイント開放フラグ_湖
92300,0,0,100,Reserve: Map point open flag_Takayama - 予備：地図ポイント開放フラグ_高山
92400,0,0,100,Reserve: Map point open flag_plain - 予備：地図ポイント開放フラグ_平原
92500,0,0,100,Reserve: Map point open flag_Snowfield - 予備：地図ポイント開放フラグ_雪原
93000,0,0,1000,Reserve: Map item acquisition production flag - 予備：地図アイテム入手演出フラグ
96000,0,0,1000,Placement mass production: Map point flag - 配置量産：地図ポイントフラグ
98000,0,0,1000,Nem Recollect: - ネムリコレクト：
71000,0,0,5000,Bonfire release flag: Legacy - 篝火開放フラグ：レガシー
76000,0,0,1000,Bonfire open flag: open - 篝火開放フラグ：オープン
77000,0,0,1000,Bonfire Guidance: Progress Flag - 篝火の導き：進行フラグ
78000,0,0,1000,Bonfire Guidance: Map Point Flag - 篝火の導き：地図ポイントフラグ
750000,0,0,500,Recipes lifted Get buddy recipes - レシピ解禁 バディレシピ入手
750500,0,0,500,Recipes lifted Base material acquisition - レシピ解禁 ベース素材入手
760000,0,0,1000,Recipe ban acquisition trend material acquisition - レシピ解禁 傾向素材入手
800200,0,0,100,Map item acquisition flag - 地図アイテム入手フラグ
800300,0,0,100,Map item acquisition production flag - 地図アイテム入手演出フラグ
820200,0,0,100,Open 1 map point flag - オープン1 地図ポイントフラグ
820300,0,0,100,Open 1 Map point cleared flag - オープン1 地図ポイントクリア済みフラグ
830200,0,0,100,Open 2 map point flag - オープン2 地図ポイントフラグ
830300,0,0,100,Open 2 Map point cleared flag - オープン2 地図ポイントクリア済みフラグ
840200,0,0,100,Open 3 map point flag - オープン3 地図ポイントフラグ
840300,0,0,100,Open 3 Map point cleared flag - オープン3 地図ポイントクリア済みフラグ
850200,0,0,100,Open 4 map point flag - オープン4 地図ポイントフラグ
850300,0,0,100,Open 4 Map point cleared flag - オープン4 地図ポイントクリア済みフラグ
860200,0,0,100,Open 5 map point flag - オープン5 地図ポイントフラグ
860300,0,0,100,Open 5 Map point cleared flag - オープン5 地図ポイントクリア済みフラグ
870200,0,0,100,Open 6 map point flag - オープン6 地図ポイントフラグ
870300,0,0,100,Open 6 Map point cleared flag - オープン6 地図ポイントクリア済みフラグ
20,1,0,1,Game clear flag (normal ED) - ゲームクリアフラグ（ノーマルED）
21,1,0,1,Game clear flag (Rani ED) - ゲームクリアフラグ（ラニED）
22,1,0,1,Game clear flag (crazy fire ED) - ゲームクリアフラグ（狂い火ED）
23,1,0,1,Game clear flag (spare) - ゲームクリアフラグ（予備）
24,1,0,1,Game clear flag (spare) - ゲームクリアフラグ（予備）
30,1,0,1,Game clear flag (selected to go to the next lap from the bonfire) - ゲームクリアフラグ（篝火から次の周回へ行く、を選択した）
50,1,0,1,Game lap flag (clear 0 week) - ゲーム周回フラグ（0週クリア）
51,1,0,1,Game lap flag (1 week clear) - ゲーム周回フラグ（1週クリア）
52,1,0,1,Game lap flag (cleared for 2 weeks) - ゲーム周回フラグ（2週クリア）
53,1,0,1,Game lap flag (cleared for 3 weeks) - ゲーム周回フラグ（3週クリア）
54,1,0,1,Game lap flag (cleared for 4 weeks) - ゲーム周回フラグ（4週クリア）
55,1,0,1,Game lap flag (cleared for 5 weeks) - ゲーム周回フラグ（5週クリア）
56,1,0,1,Game lap flag (cleared for 6 weeks) - ゲーム周回フラグ（6週クリア）
57,1,0,1,Game lap flag (7 weeks clear) - ゲーム周回フラグ（7週クリア）
58,1,0,1,Game lap flag (cleared for 8 weeks) - ゲーム周回フラグ（8週クリア）
90,1,0,1,Test layer admission flag - テストレイヤー入場フラグ
100,1,0,1,Game start flag - ゲーム開始フラグ
101,1,0,1,Reach the tutorial map - チュートリアルマップ到達
102,1,0,1,Reaching the open field - オープンフィールド到達
104,1,1,1,Reachable base - 拠点到達可能
105,1,1,1,Completion of reaching the base - 拠点到達完了
108,1,1,1,Received crazy fire - 狂い火を受領
109,1,1,1,Received crazy fire (back) - 狂い火を受領（裏）
110,1,0,1,Giant's cauldron - 巨人の釜
111,1,0,1,Giant's Cauldron Event A - 巨人の釜イベントA
112,1,0,1,Giant's Cauldron Event B - 巨人の釜イベントB
114,0,0,1,Lani - ラニ
116,1,0,1,Crazy fire suppression - 狂い火抑え
118,1,0,1,World tree on fire - 世界樹炎上
119,1,0,1,Reaching the world tree - 世界樹のうろ到達
120,1,0,1,I saw the ending - エンディングを見た
130,0,0,1,Legacy arrival check: Edinburgh - レガシー到達チェック：エジンバラ
131,0,0,1,Legacy Arrival Check: Edinburgh Outback - レガシー到達チェック：エジンバラ奥地
132,0,0,1,Legacy arrival check: Monsan - レガシー到達チェック：モンサン
133,0,0,1,Legacy arrival check: Cliff tunnel - レガシー到達チェック：断崖坑道
134,0,0,1,Legacy arrival check: Volcanic prison - レガシー到達チェック：火山牢
135,0,0,1,Legacy arrival check: Inside the volcanic prison - レガシー到達チェック：火山牢内部
136,0,0,1,Legacy arrival check: Royal capital - レガシー到達チェック：王都
137,0,0,1,Legacy arrival check: Royal capital underground sewage - レガシー到達チェック：王都地下下水
138,0,0,1,Legacy arrival check: rotten large tree upper layer - レガシー到達チェック：腐れ大樹上層
139,0,0,1,Legacy arrival check: rotten big tree lower layer - レガシー到達チェック：腐れ大樹下層
140,0,0,1,Legacy arrival check: Downhill ruins - レガシー到達チェック：下り遺跡
180,1,1,1,Check the number of large runes you have: 0 - 大ルーン所持数チェック：0個
181,1,1,1,Check the number of large runes you have: 1 or more - 大ルーン所持数チェック：1個以上
182,1,1,1,Check the number of large runes you have: 2 or more - 大ルーン所持数チェック：2個以上
183,1,1,1,Check the number of large runes you have: 3 or more - 大ルーン所持数チェック：3個以上
184,1,1,1,Check the number of large runes you have: 4 or more - 大ルーン所持数チェック：4個以上
185,1,1,1,Check the number of large runes you have: 5 or more - 大ルーン所持数チェック：5個以上
186,1,1,1,Check the number of large runes you have: 6 or more - 大ルーン所持数チェック：6個以上
187,1,1,1,Check the number of large runes you have: 7 or more - 大ルーン所持数チェック：7個以上
191,1,1,1,Large Rune Possession Check: Grafted King - 大ルーン所持チェック：接ぎ木の王
192,1,1,1,Large Rune Possession Check: Radan - 大ルーン所持チェック：ラダーン
193,1,1,1,Large Rune Possession Check: Margit - 大ルーン所持チェック：マルギット
194,1,1,1,Great Rune Possession Check: King of Ghoul - 大ルーン所持チェック：グールの王
195,1,1,1,Large Rune Possession Check: Greater Demon - 大ルーン所持チェック：グレーターデーモン
196,1,1,1,Large Rune Possession Check: Malenia - 大ルーン所持チェック：マレニア
197,1,1,1,Large Rune Possession Check: Renara - 大ルーン所持チェック：レナラ
200,1,0,1,Host flag - ホストフラグ
201,1,0,1,Guest flag - ゲストフラグ
210,1,0,1,Host is on legacy map - ホストがレガシーマップにいる
211,1,0,1,Flags to set when you are on a legacy map - 自身がレガシーマップにいるときに立てるフラグ
220,1,0,1,Flags to set when the host is on the legacy map - ホストがレガシーマップにいるときに立てるフラグ
221,1,0,1,Flags set when the player is on the legacy map - プレイヤーがレガシーマップにいるときに立てるフラグ
300,1,3,1,Natural disaster: World tree burning - 天変地異：世界樹炎上
301,1,3,1,Natural disaster: World tree flaming sparks - 天変地異：世界樹炎上 火の粉
302,1,3,1,Natural disaster: World tree petit flame - 天変地異：世界樹プチ炎上
310,1,3,1,Natural disaster: Green meteorite - 天変地異：緑隕石
311,1,3,1,Natural disaster: Snowfield meteorite - 天変地異：雪原隕石
312,1,3,1,Natural disaster: Plain meteorite - 天変地異：平原隕石
320,1,0,1,Natural disaster: Lake tower gravity reversal - 天変地異：湖塔重力反転
350,1,0,1,
370,1,0,1,Natural disaster: Lake tower gravity reversal - 天変地異：湖塔重力反転
390,0,0,1,
400,1,0,1,Ritual event ID - 儀式用イベントID
530,1,0,1,Time flag: morning - 時間フラグ：朝
531,1,0,1,Time flag: noon - 時間フラグ：昼
532,1,0,1,Time flag: night - 時間フラグ：夜
550,1,0,1,Weather flag: Fine weather - 天候フラグ：快晴
551,1,0,1,Weather flag: sunny - 天候フラグ：晴れ
552,1,0,1,Weather flag: cloudy - 天候フラグ：曇り
553,1,0,1,Weather flag: Lightly cloudy - 天候フラグ：薄曇り
554,1,0,1,Weather flag: rain - 天候フラグ：雨
555,1,0,1,Weather flag: heavy rain - 天候フラグ：豪雨
556,1,0,1,Weather flag: Storm - 天候フラグ：嵐
557,1,0,1,Weather flag: Storm (end of guardianship) - 天候フラグ：嵐（守護末）
558,1,0,1,Weather flag: Snow - 天候フラグ：雪
559,1,0,1,Weather flag: heavy snow - 天候フラグ：大雪
560,1,0,1,Weather flag: fog - 天候フラグ：霧
561,1,0,1,Weather flag: Thick fog - 天候フラグ：濃霧
562,1,0,1,Weather flag: Thick fog (rain) - 天候フラグ：濃霧（雨）
563,1,0,1,Weather flag: Sandstorm - 天候フラグ：砂嵐
564,1,0,1,Weather flag: - 天候フラグ：
565,1,0,1,Weather flag: - 天候フラグ：
570,1,0,1,Weather flag: Fine series - 天候フラグ：晴系列
571,1,0,1,Weather flag: Cloudy series - 天候フラグ：曇系列
572,1,0,1,Weather flag: Rain series - 天候フラグ：雨系列
573,1,0,1,Weather flag: Snow series - 天候フラグ：雪系列
574,1,0,1,Weather flag: Fog series - 天候フラグ：霧系列
575,1,0,1,Weather flag: Other series - 天候フラグ：その他系列
700,1,0,1,Game start event ID - ゲーム開始イベントID
701,1,0,1,Release event ID after the game starts - ゲーム開始後固定解除イベントID
702,0,0,1,
710,1,0,1,Event ID: Host / Guest Judgment - イベントID：ホスト/ゲスト判定
711,1,0,1,Event ID: Legacy / Open Judgment - イベントID：レガシー/オープン判定
850,1,0,1,
950,1,0,1,[EventID] Encounter with daughter Marika - [EventID]娘マリカとの出会い
951,1,1,1,Encounter flag with daughter Marika - 娘マリカとの出会い済みフラグ
953,1,0,1,Encounter event flag with daughter Mari - 娘マリかとの出会いイベントフラグ
955,1,0,1,Encounter with daughter Marika Kagaribi start count (3bit) - 娘マリカとの出会い 篝火起動カウント(3bit)
956,1,0,1,Encounter with daughter Marika Kagaribi start count (3bit) - 娘マリカとの出会い 篝火起動カウント(3bit)
957,1,0,1,Encounter with daughter Marika Kagaribi start count (3bit) - 娘マリカとの出会い 篝火起動カウント(3bit)
960,1,0,1,Encounter with daughter Marika Event ID00 for bonfire activation count - 娘マリカとの出会い 篝火起動カウント用イベントID00
961,1,0,1,Encounter with daughter Marika Event ID 01 for bonfire activation count - 娘マリカとの出会い 篝火起動カウント用イベントID01
962,1,0,1,Encounter with daughter Marika Event ID 02 for bonfire activation count - 娘マリカとの出会い 篝火起動カウント用イベントID02
963,1,0,1,Encounter with daughter Marika Event ID 03 for bonfire activation count - 娘マリカとの出会い 篝火起動カウント用イベントID03
964,1,0,1,Encounter with daughter Marika Event ID 04 for bonfire activation count - 娘マリカとの出会い 篝火起動カウント用イベントID04
965,1,0,1,Encounter with daughter Marika Event ID 05 for bonfire activation count - 娘マリカとの出会い 篝火起動カウント用イベントID05
966,1,0,1,Encounter with daughter Marika Event ID 06 for bonfire activation count - 娘マリカとの出会い 篝火起動カウント用イベントID06
967,1,0,1,Encounter with daughter Marika Event ID 07 for bonfire activation count - 娘マリカとの出会い 篝火起動カウント用イベントID07
968,1,0,1,Encounter with daughter Marika Event ID 08 for bonfire activation count - 娘マリカとの出会い 篝火起動カウント用イベントID08
969,1,0,1,Encounter with daughter Marika Event ID 09 for bonfire activation count - 娘マリカとの出会い 篝火起動カウント用イベントID09
1100,0,0,1,Item acquisition event ID when defeating the boss - ボス撃破時アイテム入手イベントID
1300,1,0,1,Nemuri sale count flag ID 8bit - ネムリ売却カウントフラグID 8bit
1301,1,0,1,Nemuri sale count flag ID 8bit - ネムリ売却カウントフラグID 8bit
1302,1,0,1,Nemuri sale count flag ID 8bit - ネムリ売却カウントフラグID 8bit
1303,1,0,1,Nemuri sale count flag ID 8bit - ネムリ売却カウントフラグID 8bit
1304,1,0,1,Nemuri sale count flag ID 8bit - ネムリ売却カウントフラグID 8bit
1305,1,0,1,Nemuri sale count flag ID 8bit - ネムリ売却カウントフラグID 8bit
1306,1,0,1,Nemuri sale count flag ID 8bit - ネムリ売却カウントフラグID 8bit
1307,1,0,1,Nemuri sale count flag ID 8bit - ネムリ売却カウントフラグID 8bit
1308,1,0,1,Nemuri sale count flag ID 8bit - ネムリ売却カウントフラグID 8bit
1800,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1801,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1802,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1803,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1804,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1805,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1806,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1807,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1808,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1809,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1810,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1811,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1812,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1813,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1814,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1815,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1816,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1817,1,0,1,Small search cleared flag ID - 小探索クリア済みフラグID
1900,1,0,1,Event ID: BGM control - イベントID：BGM制御
1910,1,0,1,Event ID: BGM_Small search base control_XX - イベントID：BGM_小探索拠点制御_XX
1950,1,0,1,Event ID: BGM_AI Status Control_XX - イベントID：BGM_AI状態制御_XX
1959,1,0,1,Event ID: BGM_AI State Control_Gypsy - イベントID：BGM_AI状態制御_ジプシー
1960,1,0,1,Event ID: BGM_time zone state control - イベントID：BGM_時間帯状態制御
1961,1,0,1,Event ID: BGM_Location state control - イベントID：BGM_場所状態制御
1962,1,0,1,Event ID: BGM_field song silent control - イベントID：BGM_フィールド曲サイレント制御
1963,1,0,1,Event ID: BGM_Map type control - イベントID：BGM_マップ種別制御
1980,1,0,1,Event ID: BGM_flag control_XX - イベントID：BGM_フラグ制御_XX
2000,1,0,1,Title activation - タイトル起動
2001,1,0,1,Title launch (test version) - タイトル起動（テスト版）
2002,1,0,1,Move map test launch - ムーブマップテスト起動
2030,0,0,1,Flag for PlayGo - PlayGo用フラグ
2200,1,0,1,Stop progressing over time - 時間経過進行停止
2600,1,0,1,Soul reduction amount (30bit) - ソウル減額量（30bit）
2601,1,0,1,Soul reduction amount (30bit) - ソウル減額量（30bit）
