File,Param,Index,Name,Machine Translated
m00_90_00_00,Point,4,Env_Point200,Env_Point200
m00_90_00_00,Point,5,Env_Box100,Env_Box100
m00_90_00_00,Point,6,Env_Box101,Env_Box101
m00_90_00_00,Point,7,Env_Box102,Env_Box102
m00_90_00_00,Point,8,Env_Box103,Env_Box103
m00_90_00_00,Point,9,Env_Box200,Env_Box200
m00_90_00_00,Point,10,Runtime_Point_230620_20445000,Runtime_Point_230620_20445000
m00_90_00_00,Point,11,Runtime_Point_230620_20464600,Runtime_Point_230620_20464600
m00_90_00_00,Point,12,Runtime_Point_230620_21082200,Runtime_Point_230620_21082200
m00_90_00_00,Point,13,Runtime_Point_230620_21091400,Runtime_Point_230620_21091400
m00_90_00_00,Part,0,PC初期位置,PC initial position
m00_90_00_00,Part,3,AR空間用のキャラヒット,Character hit for AR space
m00_90_00_00,Part,4,AR空間用のカメラヒット,Camera hit for AR space
m00_90_00_00,Part,5,AR壁と床の繋ぎ,AR wall and floor connection
m00_90_00_00,Part,6,作戦ライン,Operation line
m00_90_00_00,Part,7,作戦ライン,Operation line
m00_90_00_00,Part,8,作戦ライン,Operation line
m00_90_00_00,Part,9,作戦ライン,Operation line
m01_00_30_00,Event,0,NPACジェネレータ,NPAC generator
m01_00_30_00,Event,1,NPACジェネレータ,NPAC generator
m01_00_30_00,Event,2,共産Aジェネレータ,Communist A Generator
m01_00_30_00,Event,3,共産Aジェネレータ,Communist A Generator
m01_00_30_00,Event,4,共産Bジェネレータ,Communist B Generator
m01_00_30_00,Event,5,共産Bジェネレータ,Communist B Generator
m01_00_30_00,Event,6,共産Cジェネレータ,communist c generator
m01_00_30_00,Event,7,共産Cジェネレータ,communist c generator
m01_00_30_00,Event,8,空中ガードメカAジェネレータ,Aerial Guard Mecha A Generator
m01_00_30_00,Event,9,空中ガードメカAジェネレータ,Aerial Guard Mecha A Generator
m01_00_30_00,Event,10,空中ガードメカBジェネレータ,Aerial Guard Mecha B Generator
m01_00_30_00,Event,11,空中ガードメカBジェネレータ,Aerial Guard Mecha B Generator
m01_00_30_00,Event,12,四脚ジェネレータ,quadruped generator
m01_00_30_00,Event,13,四脚ジェネレータ,quadruped generator
m01_00_30_00,Point,0,★★★環境ID通知用領域★★★,★★★Environmental ID notification area★★★
m01_00_30_00,Point,1,自機ワープ用,For own warp
m01_00_30_00,Point,2,生成先A1,Generation destination A1
m01_00_30_00,Point,3,生成先A2,Generation destination A2
m01_00_30_00,Point,4,生成先B1,Generation destination B1
m01_00_30_00,Point,5,生成先B2,Generation destination B2
m01_00_30_00,Point,6,生成先C1,Generation destination C1
m01_00_30_00,Point,7,生成先C2,Generation destination C2
m01_00_30_00,Point,8,生成先D1,Generation destination D1
m01_00_30_00,Point,9,生成先D2,Generation destination D2
m01_00_30_00,Point,10,生成先E1,Generation destination E1
m01_00_30_00,Point,11,生成先E2,Generation destination E2
m01_00_30_00,Layer,0,11：ミッション制御,11: Mission control
m01_00_30_00,Part,0,NPAC,NPAC
m01_00_30_00,Part,1,NPAC,NPAC
m01_00_30_00,Part,2,共産A,Communism A
m01_00_30_00,Part,3,共産B,Communist Party B
m01_00_30_00,Part,4,共産C,Communist Party C
m01_00_30_00,Part,5,共産A,Communism A
m01_00_30_00,Part,6,共産B,Communist Party B
m01_00_30_00,Part,7,共産C,Communist Party C
m01_00_30_00,Part,8,四脚,quadruped
m01_00_30_00,Part,9,四脚,quadruped
m01_00_30_00,Part,10,空中ガードメカA,Aerial Guard Mecha A
m01_00_30_00,Part,11,空中ガードメカB,Aerial Guard Mecha B
m01_00_30_00,Part,12,空中ガードメカA,Aerial Guard Mecha A
m01_00_30_00,Part,13,空中ガードメカB,Aerial Guard Mecha B
m01_00_30_00,Part,14,ミッション制御用ダミーキャラ,Dummy character for mission control
m01_00_30_00,Part,15,プレイヤ初期位置,Player initial position
m01_00_50_00,Point,0,作戦領域,operational area
m01_00_50_00,Point,1,制圧領域,control area
m01_00_50_00,Layer,0,01：ミッション02　敵配置,01: Mission 02 Enemy placement
m01_00_50_00,Layer,1,02：ミッション02　敵配置　ダミーキャラ,02: Mission 02 Enemy placement dummy character
m01_00_50_00,Layer,2,03：ミッション02　オブジェ,03: Mission 02 Object
m01_00_50_00,Layer,3,04：ミッション02　敵配置,04: Mission 02 Enemy placement
m01_00_50_00,Layer,4,05：ミッション02　敵配置,05: Mission 02 Enemy placement
m01_00_50_00,Layer,5,06：ミッション02　ポイント配置,06: Mission 02 Point placement
m01_00_50_00,Layer,6,07：ミッション02　ポイント配置,07: Mission 02 Point placement
m01_00_50_00,Layer,7,08：ミッション02　ポイント配置,08: Mission 02 Point placement
m01_00_50_00,Layer,8,09：ミッション02　ポイント配置,09: Mission 02 Point placement
m01_00_50_00,Layer,9,10：ミッション02　ポイント配置,10: Mission 02 Point placement
m01_00_50_00,Layer,10,11：ミッション制御,11: Mission control
m01_00_50_00,Layer,11,アバランチ,avalanche
m01_00_50_00,Layer,12,右ヘリ2キャノン1盾1戦車5,Right helicopter 2 cannons 1 shield 1 tank 5
m01_00_50_00,Layer,13,右戦車4,right tank 4
m01_00_50_00,Layer,14,湖右戦車3,lake right tank 3
m01_00_50_00,Layer,15,湖左戦車3遊撃1,Lake left tank 3 guerrilla attack 1
m01_00_50_00,Layer,16,左エリア戦車4下,Left area tank 4 bottom
m01_00_50_00,Layer,17,左エリア戦車4上,Left area tank 4 top
m01_00_50_00,Layer,18,最終湖,final lake
m01_00_50_00,Layer,19,最終地点,final location
m01_00_50_00,Layer,20,最初の戦車×4,first tank x4
m01_00_50_00,Layer,21,中層湖戦車3遊撃1,Middle lake tank 3 guerrilla attack 1
m01_00_50_00,Layer,22,発電施設A警護,Power generation facility A security
m01_00_50_00,Layer,23,発電施設B警護,Power generation facility B security
m01_00_50_00,Layer,24,発電施設C警護,Power generation facility C security
m01_00_50_00,Layer,25,発電施設D警護,Power generation facility D security
m01_00_50_00,Part,0,ミッション制御用ダミーキャラ,Dummy character for mission control
m01_00_50_00,Part,1,制圧領域表示用ダミーキャラ,Dummy character for displaying controlled area
m01_00_50_00,Part,2,開始位置_チームA_01,Starting position_Team A_01
m01_00_50_00,Part,3,開始位置_チームA_02,Starting position_Team A_02
m01_00_50_00,Part,4,開始位置_チームA_03,Starting position_Team A_03
m01_00_50_00,Part,5,開始位置_チームA_04,Starting position_Team A_04
m01_00_50_00,Part,6,開始位置_チームB_01,Starting position_Team B_01
m01_00_50_00,Part,7,開始位置_チームB_02,Starting position_Team B_02
m01_00_50_00,Part,8,開始位置_チームB_03,Starting position_Team B_03
m01_00_50_00,Part,9,開始位置_チームB_04,Starting position_Team B_04
m01_00_50_00,Part,10,チームB01,Team B01
m01_00_50_00,Part,11,チームB02,Team B02
m01_00_50_00,Part,12,チームB03,Team B03
m01_00_50_00,Part,13,チームB04,Team B04
m01_00_60_00,Point,0,作戦領域,operational area
m01_00_60_00,Layer,0,01：ミッション02　敵配置,01: Mission 02 Enemy placement
m01_00_60_00,Layer,1,02：ミッション02　敵配置　ダミーキャラ,02: Mission 02 Enemy placement dummy character
m01_00_60_00,Layer,2,03：ミッション02　オブジェ,03: Mission 02 Object
m01_00_60_00,Layer,3,04：ミッション02　敵配置,04: Mission 02 Enemy placement
m01_00_60_00,Layer,4,05：ミッション02　敵配置,05: Mission 02 Enemy placement
m01_00_60_00,Layer,5,06：ミッション02　ポイント配置,06: Mission 02 Point placement
m01_00_60_00,Layer,6,07：ミッション02　ポイント配置,07: Mission 02 Point placement
m01_00_60_00,Layer,7,08：ミッション02　ポイント配置,08: Mission 02 Point placement
m01_00_60_00,Layer,8,09：ミッション02　ポイント配置,09: Mission 02 Point placement
m01_00_60_00,Layer,9,10：ミッション02　ポイント配置,10: Mission 02 Point placement
m01_00_60_00,Layer,10,11：ミッション制御,11: Mission control
m01_00_60_00,Layer,11,アバランチ,avalanche
m01_00_60_00,Layer,12,右ヘリ2キャノン1盾1戦車5,Right helicopter 2 cannons 1 shield 1 tank 5
m01_00_60_00,Layer,13,右戦車4,right tank 4
m01_00_60_00,Layer,14,湖右戦車3,lake right tank 3
m01_00_60_00,Layer,15,湖左戦車3遊撃1,Lake left tank 3 guerrilla attack 1
m01_00_60_00,Layer,16,左エリア戦車4下,Left area tank 4 bottom
m01_00_60_00,Layer,17,左エリア戦車4上,Left area tank 4 top
m01_00_60_00,Layer,18,最終湖,final lake
m01_00_60_00,Layer,19,最終地点,final location
m01_00_60_00,Layer,20,最初の戦車×4,first tank x4
m01_00_60_00,Layer,21,中層湖戦車3遊撃1,Middle lake tank 3 guerrilla attack 1
m01_00_60_00,Layer,22,発電施設A警護,Power generation facility A security
m01_00_60_00,Layer,23,発電施設B警護,Power generation facility B security
m01_00_60_00,Layer,24,発電施設C警護,Power generation facility C security
m01_00_60_00,Layer,25,発電施設D警護,Power generation facility D security
m01_00_60_00,Part,0,ミッション制御用ダミーキャラ,Dummy character for mission control
m01_00_60_00,Part,1,着せ替えAC,Dress-up AC
m01_00_60_00,Part,2,着せ替えAC,Dress-up AC
m01_00_60_00,Part,3,着せ替えAC,Dress-up AC
m01_00_60_00,Part,4,着せ替えAC,Dress-up AC
m01_00_60_00,Part,5,着せ替えAC,Dress-up AC
m01_00_60_00,Part,6,着せ替えAC,Dress-up AC
m01_00_60_00,Part,7,着せ替えAC,Dress-up AC
m01_00_60_00,Part,8,開始位置,starting position
m01_00_70_00,Event,0,宝コンテナ｜1外足場,Treasure container｜1 outside scaffolding
m01_00_70_00,Event,1,宝コンテナ｜外縁足場2,Treasure Container｜Outer Scaffolding 2
m01_00_70_00,Event,2,小隊 橋上,Platoon Hashigami
m01_00_70_00,Event,3,小隊 警備MT,Platoon Security MT
m01_00_70_00,Event,4,小隊 警備MTR,Platoon Security MTR
m01_00_70_00,Event,5,小隊 炉内B,Platoon Reactor B
m01_00_70_00,Event,6,小隊　円環下デリーター,Platoon Deleteer under the circle
m01_00_70_00,Event,7,小隊　警備MTL,Platoon Security MTL
m01_00_70_00,Event,8,walk_route_c9980_0005_16,walk_route_c9980_0005_16
m01_00_70_00,Event,9,▼警備MT巡回A(R),▼Security MT Patrol A(R)
m01_00_70_00,Event,10,▼警備MT巡回B(L),▼Security MT Patrol B(L)
m01_00_70_00,Event,11,巡回 ヘリデリーター01,Patrol helicopter 01
m01_00_70_00,Event,12,巡回 ヘリデリーター02,Patrol Helicopter 02
m01_00_70_00,Event,13,巡回 円環,patrol circle
m01_00_70_00,Event,14,巡回 円環下デリーター02,Patrol circle lower deleter 02
m01_00_70_00,Event,15,巡回 下ルートA,Patrol lower route A
m01_00_70_00,Event,16,巡回 下ルートB,Patrol lower route B
m01_00_70_00,Event,17,巡回 警備MT,Patrol security MT
m01_00_70_00,Event,18,巡回 炉内A,Patrol Furnace A
m01_00_70_00,Event,19,巡回 炉内B,Patrol Furnace B
m01_00_70_00,Event,20,巡回 炉内デリーター,Patrol furnace deleter
m01_00_70_00,Event,21,巡回ルート　円盤デリーター隊01,Patrol route: Disc deleter squad 01
m01_00_70_00,Event,22,巡回ルート　円盤デリーター隊02,Patrol Route Disc Deleter Squad 02
m01_00_70_00,Event,23,巡回ルート　炉前　01　前,Patrol route: Furamae 01
m01_00_70_00,Event,24,巡回ルート　炉前　02　中,Patrol route: Furamae 02
m01_00_70_00,Event,25,巡回ルート　炉前　03　奥,Patrol route Hearth front 03 Back
m01_00_70_00,Event,26,巡回ルート　炉道中,Patrol route Furnace road
m01_00_70_00,Event,27,巡回ルート橋上,Patrol route bridge
m01_00_70_00,Event,28,小隊 橋上デリータ,Platoon Delita Hashigami
m01_00_70_00,Event,29,小隊　円盤デリーター隊　01,Platoon Disc Deleter Squad 01
m01_00_70_00,Event,30,小隊　円盤デリーター隊　02,Platoon Disc Deleter Squad 02
m01_00_70_00,Point,0,bas_侵入判定｜1ビューポイント 会話キック,bas_Intrusion detection｜1 view point Conversation kick
m01_00_70_00,Point,1,bas_侵入判定｜1外足場 会話キック,bas_Intrusion Judgment｜1 Outside Scaffold Conversation Kick
m01_00_70_00,Point,2,bas_侵入判定｜1外足場 垂直ミサイル射撃範囲内外判定,bas_Intrusion Judgment｜1Outer Scaffold Vertical Missile Shooting Range Judgment
m01_00_70_00,Point,3,bas_侵入判定｜1外足場 砲台起動,bas_Intrusion Judgment｜1 Outside scaffolding turret activation
m01_00_70_00,Point,4,bas_侵入判定｜3炉側 炉侵入口 会話キック,bas_Intrusion detection｜3Furnace side Furnace entry entrance Conversation kick
m01_00_70_00,Point,5,bas_侵入判定｜4円環 会話キック,bas_Intrusion detection｜4 circle conversation kick
m01_00_70_00,Point,6,bas_侵入判定｜4円環 砲台射撃範囲内外判定,bas_Intrusion detection｜4 ring Judgment inside and outside of battery firing range
m01_00_70_00,Point,7,bas_侵入判定｜5炉内 再入場判定,bas_Intrusion Judgment｜5 Re-entry Judgment Inside the Furnace
m01_00_70_00,Point,8,bas_侵入判定｜5炉内 手前通路 ドローンA巡回開始,"bas_Intrusion judgment｜5 Inside the reactor, front passage Drone A patrol begins"
m01_00_70_00,Point,9,bas_侵入判定｜5炉内 戦闘部屋 会話キック1,bas_Intrusion detection | 5 Furnace Battle Room Conversation Kick 1
m01_00_70_00,Point,10,bas_侵入判定｜5炉内 破壊対象前 会話キック,"bas_Intrusion detection｜5 Inside the furnace, in front of the destruction target Conversation kick"
m01_00_70_00,Point,11,bas_侵入判定｜6爆発範囲,bas_Intrusion Judgment｜6 Explosive Range
m01_00_70_00,Point,12,utl_侵入判定｜電熱線 自機死亡用 板1 ■EntID0で無効に,utl_Intrusion detection｜Heating wire for own aircraft death board 1 ■Disabled with EntID0
m01_00_70_00,Point,13,侵入判定_マーカー一個目_2331判定領域,Intrusion detection_1st marker_2331 judgment area
m01_00_70_00,Point,14,★ループ演出SFX｜A101,★Loop production SFX｜A101
m01_00_70_00,Point,15,★ループ演出SFX｜A102,★Loop production SFX｜A102
m01_00_70_00,Point,16,★ループ演出SFX｜A201,★Loop production SFX｜A201
m01_00_70_00,Point,17,★ループ演出SFX｜A202,★Loop production SFX｜A202
m01_00_70_00,Point,18,★ループ演出SFX｜A301,★Loop production SFX｜A301
m01_00_70_00,Point,19,★ループ演出SFX｜A302,★Loop production SFX｜A302
m01_00_70_00,Point,20,★ループ演出SFX｜A303,★Loop production SFX｜A303
m01_00_70_00,Point,21,★ループ演出SFX｜B101,★Loop production SFX｜B101
m01_00_70_00,Point,22,★ループ演出SFX｜B102,★Loop production SFX｜B102
m01_00_70_00,Point,23,★ループ演出SFX｜B103,★Loop production SFX｜B103
m01_00_70_00,Point,24,★ループ演出SFX｜B201,★Loop production SFX｜B201
m01_00_70_00,Point,25,★ループ演出SFX｜B202,★Loop production SFX｜B202
m01_00_70_00,Point,26,★ループ演出SFX｜B203,★Loop production SFX｜B203
m01_00_70_00,Point,27,★ループ演出SFX｜B301,★Loop production SFX｜B301
m01_00_70_00,Point,28,★ループ演出SFX｜B302,★Loop production SFX｜B302
m01_00_70_00,Point,29,★ループ演出SFX｜B303,★Loop production SFX｜B303
m01_00_70_00,Point,30,★ループ演出SFX｜C101,★Loop production SFX｜C101
m01_00_70_00,Point,31,★ループ演出SFX｜C102,★Loop production SFX｜C102
m01_00_70_00,Point,32,★ループ演出SFX｜C103,★Loop production SFX｜C103
m01_00_70_00,Point,33,★ループ演出SFX｜C201,★Loop production SFX｜C201
m01_00_70_00,Point,34,★ループ演出SFX｜C202,★Loop production SFX｜C202
m01_00_70_00,Point,35,★ループ演出SFX｜C203,★Loop production SFX｜C203
m01_00_70_00,Point,36,★ループ演出SFX｜C204,★Loop production SFX｜C204
m01_00_70_00,Point,37,★ループ演出SFX｜C301,★Loop production SFX｜C301
m01_00_70_00,Point,38,★ループ演出SFX｜C302,★Loop production SFX｜C302
m01_00_70_00,Point,39,★ループ演出SFX｜C303,★Loop production SFX｜C303
m01_00_70_00,Point,40,★ループ演出SFX｜C304,★Loop production SFX｜C304
m01_00_70_00,Point,41,★決め打ち演出SFX｜ラスト大爆発,★Decision-making SFX｜Large explosion at the end
m01_00_70_00,Point,42,★決め打ち演出SFX｜ラスト大爆発,★Decision-making SFX｜Large explosion at the end
m01_00_70_00,Point,43,★決め打ち演出SFX｜ラスト大爆発,★Decision-making SFX｜Large explosion at the end
m01_00_70_00,Point,44,★決め打ち演出SFX｜ラスト大爆発,★Decision-making SFX｜Large explosion at the end
m01_00_70_00,Point,45,★決め打ち演出SFX｜ラスト大爆発,★Decision-making SFX｜Large explosion at the end
m01_00_70_00,Point,46,★決め打ち演出SFX｜ラスト大爆発,★Decision-making SFX｜Large explosion at the end
m01_00_70_00,Point,47,★決め打ち演出SFX｜ラスト大爆発,★Decision-making SFX｜Large explosion at the end
m01_00_70_00,Point,48,★決め打ち演出SFX｜大爆発A,★Decision-making SFX｜Big Explosion A
m01_00_70_00,Point,49,★決め打ち演出SFX｜大爆発B1,★Decision production SFX｜Big explosion B1
m01_00_70_00,Point,50,★決め打ち演出SFX｜大爆発B2,★Decision production SFX｜Big explosion B2
m01_00_70_00,Point,51,★決め打ち演出SFX｜大爆発C1,★Decisive production SFX｜Big explosion C1
m01_00_70_00,Point,52,★決め打ち演出SFX｜大爆発C2,★Decisive production SFX｜Big explosion C2
m01_00_70_00,Point,53,Runtime_Point_220816_21371000,Runtime_Point_220816_21371000
m01_00_70_00,Point,54,Runtime_Point_220816_21371400,Runtime_Point_220816_21371400
m01_00_70_00,Point,55,Runtime_Point_220816_21391800,Runtime_Point_220816_21391800
m01_00_70_00,Point,56,Runtime_Point_220816_21392500,Runtime_Point_220816_21392500
m01_00_70_00,Point,57,Runtime_Point_220816_21482800,Runtime_Point_220816_21482800
m01_00_70_00,Point,58,Runtime_Point_220816_21484900,Runtime_Point_220816_21484900
m01_00_70_00,Point,59,Runtime_Point_220816_22162400,Runtime_Point_220816_22162400
m01_00_70_00,Point,60,Runtime_Point_220816_22163200,Runtime_Point_220816_22163200
m01_00_70_00,Point,61,Runtime_Point_220816_22163400,Runtime_Point_220816_22163400
m01_00_70_00,Point,62,Runtime_Point_220817_00093300,Runtime_Point_220817_00093300
m01_00_70_00,Point,63,Runtime_Point_220817_00093600,Runtime_Point_220817_00093600
m01_00_70_00,Point,64,Runtime_Point_220817_00093900,Runtime_Point_220817_00093900
m01_00_70_00,Point,65,Runtime_Point_220817_00094000,Runtime_Point_220817_00094000
m01_00_70_00,Point,66,Runtime_Point_220817_00094300,Runtime_Point_220817_00094300
m01_00_70_00,Point,67,Runtime_Point_220817_00094500,Runtime_Point_220817_00094500
m01_00_70_00,Point,68,Runtime_Point_220817_00280900,Runtime_Point_220817_00280900
m01_00_70_00,Point,69,Runtime_Point_220817_00281300,Runtime_Point_220817_00281300
m01_00_70_00,Point,70,Runtime_Point_220817_00281600,Runtime_Point_220817_00281600
m01_00_70_00,Point,71,Runtime_Point_220817_13242500,Runtime_Point_220817_13242500
m01_00_70_00,Point,72,Runtime_Point_220817_13244400,Runtime_Point_220817_13244400
m01_00_70_00,Point,73,Runtime_Point_220817_13245500,Runtime_Point_220817_13245500
m01_00_70_00,Point,74,Runtime_Point_220817_13480200,Runtime_Point_220817_13480200
m01_00_70_00,Point,75,Runtime_Point_220817_13481600,Runtime_Point_220817_13481600
m01_00_70_00,Point,76,Runtime_Point_220817_13482400,Runtime_Point_220817_13482400
m01_00_70_00,Point,77,bas_巡回｜2下ルートA1,bas_tour｜2 lower route A1
m01_00_70_00,Point,78,bas_巡回｜2下ルートA2,bas_tour｜2 lower route A2
m01_00_70_00,Point,79,bas_巡回｜2下ルートB1,bas_tour｜2 lower route B1
m01_00_70_00,Point,80,bas_巡回｜2下ルートB2,bas_tour｜2 lower route B2
m01_00_70_00,Point,81,bas_巡回｜4円環A1,bas_tour｜4 circle A1
m01_00_70_00,Point,82,bas_巡回｜4円環A2,bas_tour｜4 circular A2
m01_00_70_00,Point,83,bas_巡回｜5炉内A1,bas_tour｜5 Furnace A1
m01_00_70_00,Point,84,bas_巡回｜5炉内A2,bas_tour｜5 Furnace A2
m01_00_70_00,Point,85,bas_巡回｜5炉内A3,bas_tour｜5 Furnace A3
m01_00_70_00,Point,86,bas_巡回｜5炉内B1,bas_tour｜5Furnace B1
m01_00_70_00,Point,87,bas_巡回｜5炉内B2,bas_tour｜5Furnace B2
m01_00_70_00,Point,88,walk_route_c9980_0004_14_10,walk_route_c9980_0004_14_10
m01_00_70_00,Point,89,walk_route_c9980_0004_14_11,walk_route_c9980_0004_14_11
m01_00_70_00,Point,90,walk_route_c9980_0005_16_12,walk_route_c9980_0005_16_12
m01_00_70_00,Point,91,walk_route_c9980_0005_16_13,walk_route_c9980_0005_16_13
m01_00_70_00,Point,92,▼警備MT巡回A01,▼Security MT Patrol A01
m01_00_70_00,Point,93,▼警備MT巡回A02,▼Security MT Patrol A02
m01_00_70_00,Point,94,▼警備MT巡回A03,▼Security MT Patrol A03
m01_00_70_00,Point,95,▼警備MT巡回A04,▼Security MT Patrol A04
m01_00_70_00,Point,96,▼警備MT巡回B01,▼Security MT Patrol B01
m01_00_70_00,Point,97,▼警備MT巡回B02,▼Security MT Patrol B02
m01_00_70_00,Point,98,▼警備MT巡回B03,▼Security MT Patrol B03
m01_00_70_00,Point,99,▼警備MT巡回B04,▼Security MT Patrol B04
m01_00_70_00,Point,100,巡回ポイント01,Patrol point 01
m01_00_70_00,Point,101,巡回ポイント02,Patrol point 02
m01_00_70_00,Point,102,巡回ポイント03,Patrol point 03
m01_00_70_00,Point,103,bas_マーカー｜1初期,bas_marker | 1 initial
m01_00_70_00,Point,104,bas_マーカー｜3炉侵入口,bas_marker｜3 Furnace entrance
m01_00_70_00,Point,105,bas_マーカー｜6炉外 脱出ゴール,bas_marker｜6Outside the furnace escape goal
m01_00_70_00,Point,106,bas_マーカー｜6炉内ハッキング箇所,bas_marker｜6 Hacking points inside the furnace
m01_00_70_00,Point,107,bas_狙撃位置｜2下ルート,bas_Sniper position｜2 lower route
m01_00_70_00,Point,108,bas_狙撃位置｜3炉側 炉入口前,"bas_Sniper position｜3 furnace side, in front of the furnace entrance"
m01_00_70_00,Point,109,bas_狙撃位置｜4円環 左,bas_Sniper position｜4 ring left
m01_00_70_00,Point,110,★★★環境ID通知用領域★★★,★★★Environmental ID notification area★★★
m01_00_70_00,Point,111,Runtime_Point_230505_21323300,Runtime_Point_230505_21323300
m01_00_70_00,Point,112,Runtime_Point_230505_21340600,Runtime_Point_230505_21340600
m01_00_70_00,Point,113,Runtime_Point_230505_21351500,Runtime_Point_230505_21351500
m01_00_70_00,Point,114,Runtime_Point_230505_21361200,Runtime_Point_230505_21361200
m01_00_70_00,Point,115,Runtime_Point_230505_22594900,Runtime_Point_230505_22594900
m01_00_70_00,Point,116,Runtime_Point_230605_23515100,Runtime_Point_230605_23515100
m01_00_70_00,Point,117,Runtime_Point_230605_23555300,Runtime_Point_230605_23555300
m01_00_70_00,Point,118,Runtime_Point_230605_23572700,Runtime_Point_230605_23572700
m01_00_70_00,Point,119,Runtime_Point_230605_23572701,Runtime_Point_230605_23572701
m01_00_70_00,Point,120,Runtime_Point_230605_23583200,Runtime_Point_230605_23583200
m01_00_70_00,Point,121,Runtime_Point_230605_23590900,Runtime_Point_230605_23590900
m01_00_70_00,Point,122,Runtime_Point_230606_00011800,Runtime_Point_230606_00011800
m01_00_70_00,Point,123,Runtime_Point_230606_00011801,Runtime_Point_230606_00011801
m01_00_70_00,Point,124,ジャンプエッジ消し領域01,Jump edge erase area 01
m01_00_70_00,Point,125,ジャンプエッジ消し領域02,Jump edge erase area 02
m01_00_70_00,Point,126,ジャンプエッジ消し領域03,Jump edge erase area 03
m01_00_70_00,Point,127,ジャンプエッジ消し領域04,Jump edge erase area 04
m01_00_70_00,Point,132,2310のマーカーを消す領域,Area to erase marker 2310
