0 Upgrade Path: Standard
100007 Soul Transposition: Old Demon King
100008 Soul Transposition: Dragonslayer Armour
100009 Soul Transposition: Nameless King
100010 Soul Transposition: 
100011 Soul Transposition: Pontiff Sulyvahn
100012 Soul Transposition: Aldrich
100013 Soul Transposition: High Lord Wolnir
100014 Soul Transposition: Rotted Greatwood
100015 Soul Transposition: Deacons of the Deep
100016 Soul Transposition: Twin Princes
100017 Soul Transposition: Yhorm the Giant
100018 Soul Transposition: Soul of Cinder
100019 Soul Transposition: Demon
100020 Soul Transposition: 
100021 Soul Transposition: Rosaria
100022 Soul Transposition: Stray Demon
100023 Soul Transposition: Sister Friede
100024 Soul Transposition: Slave Knight Gael
100025 Soul Transposition: Demon Prince
100026 Soul Transposition: Darkeater Midir
